label_a,label_b,gene_a,gene_b,symbol_a,symbol_b,pair_class,duplication_mode,chrom_a,chrom_b,pid_aligned,esm2_cosine_distance,tm_score,rmsd,pocket_identity,tissue_overlap,dose_ratio,cover_a_by_b,cover_b_by_a,log2fc_mean_nodule,log2fc_sd_nodule,log2fc_mean_all,log2fc_sd_all,spearman_profile,M_seq_family,M_fold_family,M_pocket_family,M_family,E_family,R_family,R_a_covered_by_b_family,R_b_covered_by_a_family,M_seq_clade,M_fold_clade,M_pocket_clade,M_clade,E_clade,R_clade,R_a_covered_by_b_clade,R_b_covered_by_a_clade,alpha_M,beta_E
Glyma.10G199000_Lbc1,Glyma.11G121800_Hb2,Glyma.10G199000,Glyma.11G121800,Lbc1,Hb2,Lb-other,dispersed,Gm10,Gm11,43.75,0.14359444,0.8198,2.409,56.52,0.729792466315612,0.0032806591718161,0.0032806591718161,1.0,8.260799888530201,0.786859337597813,1.348178702662346,6.361278334129892,0.7181848464596079,0.013186056055659647,0.2972332015810274,0.09094710432782775,0.13378878732150493,0.002394200348140605,0.011969174004382976,0.011969174004382976,0.37024355934077857,0.013186056055659647,0.2972332015810274,0.09094710432782775,0.05,0.05,0.05,0.05,0.22342486371026177,0.4,0.6
Glyma.10G198900_GmLb5,Glyma.20G191200_Lbc2,Glyma.10G198900,Glyma.20G191200,GmLb5,Lbc2,Lb-other,dispersed,Gm10,Gm20,80.0,0.005477309,0.9523,1.314,82.61,0.999997913413961,0.000386027152365,1.0,0.000386027152365,-10.749587114462328,0.5491829384100834,-4.308824406262305,5.886022206201752,0.8029550685469662,0.8382975255436548,0.8209486166007904,0.6364206564917415,0.7652222662120622,0.00038602634688613324,0.008044243487268073,0.8984925815569956,0.008044243487268073,0.8382975255436548,0.8209486166007904,0.6364206564917415,0.05,0.05,0.05,0.3017085164682314,0.05,0.4,0.6
Glyma.10G199100_Lba,Glyma.11G121800_Hb2,Glyma.10G199100,Glyma.11G121800,Lba,Hb2,Lb-other,dispersed,Gm10,Gm11,43.05555555555556,0.14441156,0.8313,2.296,56.52,0.7297932602859163,0.0014465276036096,0.0014465276036096,1.0,9.446035253562616,0.698315988045843,1.854727392994824,6.975271459336555,0.7181848464596079,0.0037257838088738727,0.34268774703557314,0.09094710432782775,0.14578687839075824,0.0010556660959318235,0.007578850129798747,0.007578850129798747,0.38318392684137537,0.0037257838088738727,0.34268774703557314,0.09094710432782775,0.05,0.05,0.05,0.05,0.22342511966316092,0.4,0.6
Glyma.10G198800_Lbc3,Glyma.10G198900_GmLb5,Glyma.10G198800,Glyma.10G198900,Lbc3,GmLb5,Lb-other,tandem,Gm10,Gm10,77.24137931034483,0.0049800873,0.9485,1.35,82.61,0.9999984428126233,0.0002880860311023,0.0002880860311023,1.0,11.142010867993466,0.7913957161718317,4.465793907674761,6.107384131532061,0.8029550685469662,0.813707236142894,0.8059288537549406,0.6364206564917415,0.752018915463192,0.000288085582498369,0.006701999950623193,0.006701999950623193,0.8922593343898769,0.813707236142894,0.8059288537549406,0.6364206564917415,0.05,0.05,0.05,0.05,0.30170850441922914,0.4,0.6
Glyma.10G198900_GmLb5,Glyma.10G199000_Lbc1,Glyma.10G198900,Glyma.10G199000,GmLb5,Lbc1,Lb-other,tandem,Gm10,Gm10,79.86111111111111,0.0050697923,0.9497,1.05,86.96,0.9999975401867138,0.0002275379627048,1.0,0.0002275379627048,-11.516594011922145,0.4851525180883839,-4.624345093504079,6.296511919240404,0.8029550685469662,0.8383867969686207,0.810671936758893,0.7273677608195692,0.7921421648490277,0.00022753740300389625,0.0059395416288296945,0.9110046870621936,0.0059395416288296945,0.8383867969686207,0.810671936758893,0.7273677608195692,0.05,0.05,0.05,0.30170842974313766,0.05,0.4,0.6
Glyma.10G198900_GmLb5,Glyma.10G199100_Lba,Glyma.10G198900,Glyma.10G199100,GmLb5,Lba,Lb-other,tandem,Gm10,Gm10,77.77777777777777,0.0058346987,0.9386,1.605,82.61,0.9999967462164097,0.0001003273813839,1.0,0.0001003273813839,-12.70182937695456,0.3966091685364153,-5.130893783836558,6.914889523865155,0.8029550685469662,0.8158584516907555,0.7667984189723318,0.6364206564917415,0.7396925090516095,0.00010032705494031279,0.003535666767911468,0.886379371705615,0.003535666767911468,0.8158584516907555,0.7667984189723318,0.6364206564917415,0.05,0.05,0.05,0.30170824525186546,0.05,0.4,0.6
Glyma.11G121700_Hb1,Glyma.20G191200_Lbc2,Glyma.11G121700,Glyma.20G191200,Hb1,Lbc2,Lb-other,dispersed,Gm11,Gm20,45.51724137931034,0.07311964,0.9139,1.458,52.17,0.4052682877778702,8.848221177998625e-05,1.0,8.848221177998625e-05,-11.76106658300534,0.1997612148295579,-4.2996312458729005,6.817256159101677,0.0512989176042577,0.2746121175857007,0.6691699604743083,0.0,0.31459402602000297,3.5859034466873925e-05,0.001354750573489272,0.3662231227204997,0.001354750573489272,0.2746121175857007,0.6691699604743083,0.0,0.05,0.05,0.05,0.12705636588120697,0.05,0.4,0.6
Glyma.10G198800_Lbc3,Glyma.11G121700_Hb1,Glyma.10G198800,Glyma.11G121700,Lbc3,Hb1,Lb-other,dispersed,Gm10,Gm11,44.13793103448276,0.07473445,0.9181,1.418,52.17,0.40526775837920803,6.603289187998207e-05,6.603289187998207e-05,1.0,12.15349033653648,0.4419739925913049,4.456600747285355,7.034776758222823,0.0512989176042577,0.25585037496217683,0.6857707509881422,0.0,0.31387370865010633,2.676100207149694e-05,0.0011355425139774587,0.0011355425139774587,0.36588719282737014,0.25585037496217683,0.6857707509881422,0.0,0.05,0.05,0.05,0.05,0.0899710901753688,0.4,0.6
Glyma.10G199000_Lbc1,Glyma.11G121700_Hb1,Glyma.10G199000,Glyma.11G121700,Lbc1,Hb1,Lb-other,dispersed,Gm10,Gm11,45.833333333333336,0.073326945,0.9064,1.656,56.52,0.4052686610051175,5.215452353725166e-05,5.215452353725166e-05,1.0,12.528073480465157,0.1357307945078584,4.615151933114673,7.228084711330243,0.0512989176042577,0.27690806142048713,0.6395256916996045,0.09094710432782775,0.33579361914930644,2.1136593919301864e-05,0.0010126281075667272,0.0010126281075667272,0.3759021317544679,0.27690806142048713,0.6395256916996045,0.09094710432782775,0.05,0.05,0.05,0.05,0.0899716237746581,0.4,0.6
Glyma.10G199100_Lba,Glyma.11G121700_Hb1,Glyma.10G199100,Glyma.11G121700,Lba,Hb1,Lb-other,dispersed,Gm10,Gm11,45.138888888888886,0.075783014,0.9008,1.734,56.52,0.4052694549754218,2.299628032008577e-05,2.299628032008577e-05,1.0,13.713308845497572,0.0471874449558885,5.121700623447152,7.845276793118586,0.0512989176042577,0.26176017212276076,0.6173913043478261,0.09094710432782775,0.32336619359947155,9.319689991783177e-06,0.0006102653690576098,0.0006102653690576098,0.37027481123834904,0.26176017212276076,0.6173913043478261,0.09094710432782775,0.05,0.05,0.05,0.05,0.0899720931389998,0.4,0.6
