duplicate_1,Location,duplicate_2,Location.1,E.value,duplication_status
Glyma.01G050500,glyma.Wm82.gnm4.Gm01:5983575,Glyma.02G109400,glyma.Wm82.gnm4.Gm02:10464339,1.54e-96,WGD
Glyma.01G050700,glyma.Wm82.gnm4.Gm01:6015253,Glyma.02G109600,glyma.Wm82.gnm4.Gm02:10478952,4.22e-51,WGD
Glyma.01G051300,glyma.Wm82.gnm4.Gm01:6049851,Glyma.02G109800,glyma.Wm82.gnm4.Gm02:10494763,2.22e-207,WGD
Glyma.01G051400,glyma.Wm82.gnm4.Gm01:6073848,Glyma.02G109900,glyma.Wm82.gnm4.Gm02:10517170,0.0,WGD
Glyma.01G051700,glyma.Wm82.gnm4.Gm01:6242109,Glyma.02G110000,glyma.Wm82.gnm4.Gm02:10537712,8.38e-163,WGD
Glyma.01G052200,glyma.Wm82.gnm4.Gm01:6316947,Glyma.02G110400,glyma.Wm82.gnm4.Gm02:10618662,3.57e-126,WGD
Glyma.01G052400,glyma.Wm82.gnm4.Gm01:6356099,Glyma.02G110700,glyma.Wm82.gnm4.Gm02:10646757,5.26e-114,WGD
Glyma.01G052500,glyma.Wm82.gnm4.Gm01:6361161,Glyma.02G110800,glyma.Wm82.gnm4.Gm02:10651553,0.0,WGD
Glyma.01G052700,glyma.Wm82.gnm4.Gm01:6429831,Glyma.02G111300,glyma.Wm82.gnm4.Gm02:10696223,5.63e-173,WGD
Glyma.01G052800,glyma.Wm82.gnm4.Gm01:6440939,Glyma.02G111400,glyma.Wm82.gnm4.Gm02:10701232,7.89e-134,WGD
Glyma.01G052900,glyma.Wm82.gnm4.Gm01:6510198,Glyma.02G111500,glyma.Wm82.gnm4.Gm02:10710234,1.15e-190,WGD
Glyma.01G053100,glyma.Wm82.gnm4.Gm01:6609533,Glyma.02G111600,glyma.Wm82.gnm4.Gm02:10749390,0.0,WGD
Glyma.01G053200,glyma.Wm82.gnm4.Gm01:6621892,Glyma.02G111700,glyma.Wm82.gnm4.Gm02:10768594,4.11e-99,WGD
Glyma.01G053300,glyma.Wm82.gnm4.Gm01:6699943,Glyma.02G111800,glyma.Wm82.gnm4.Gm02:10777353,0.0,WGD
Glyma.01G053600,glyma.Wm82.gnm4.Gm01:6777310,Glyma.02G111900,glyma.Wm82.gnm4.Gm02:10806386,0.0,WGD
Glyma.01G053700,glyma.Wm82.gnm4.Gm01:6788826,Glyma.02G112000,glyma.Wm82.gnm4.Gm02:10814440,1.70e-162,WGD
Glyma.01G053800,glyma.Wm82.gnm4.Gm01:6800451,Glyma.02G112100,glyma.Wm82.gnm4.Gm02:10823328,7.10e-302,WGD
Glyma.01G054000,glyma.Wm82.gnm4.Gm01:6945215,Glyma.02G112400,glyma.Wm82.gnm4.Gm02:10866883,4.22e-114,WGD
Glyma.01G054100,glyma.Wm82.gnm4.Gm01:6949194,Glyma.02G112500,glyma.Wm82.gnm4.Gm02:10871747,9.56e-230,WGD
Glyma.01G054200,glyma.Wm82.gnm4.Gm01:6963333,Glyma.02G112600,glyma.Wm82.gnm4.Gm02:10880530,2.91e-150,WGD
Glyma.01G054300,glyma.Wm82.gnm4.Gm01:6986363,Glyma.02G112800,glyma.Wm82.gnm4.Gm02:10890368,2.25e-234,WGD
Glyma.01G054400,glyma.Wm82.gnm4.Gm01:6991385,Glyma.02G112900,glyma.Wm82.gnm4.Gm02:10894264,8.50e-122,WGD
Glyma.01G054500,glyma.Wm82.gnm4.Gm01:7006834,Glyma.02G113000,glyma.Wm82.gnm4.Gm02:10899886,1.54e-131,WGD
Glyma.01G054800,glyma.Wm82.gnm4.Gm01:7076211,Glyma.02G113300,glyma.Wm82.gnm4.Gm02:10980853,0.0,WGD
Glyma.01G054900,glyma.Wm82.gnm4.Gm01:7090293,Glyma.02G113400,glyma.Wm82.gnm4.Gm02:10997545,5.81e-204,WGD
Glyma.01G055000,glyma.Wm82.gnm4.Gm01:7096751,Glyma.02G113500,glyma.Wm82.gnm4.Gm02:10999739,1.24e-114,WGD
Glyma.01G055200,glyma.Wm82.gnm4.Gm01:7129933,Glyma.02G113600,glyma.Wm82.gnm4.Gm02:11009950,2.41e-215,WGD
Glyma.01G055300,glyma.Wm82.gnm4.Gm01:7132814,Glyma.02G113700,glyma.Wm82.gnm4.Gm02:11013017,0.0,WGD
Glyma.01G055400,glyma.Wm82.gnm4.Gm01:7148172,Glyma.02G113800,glyma.Wm82.gnm4.Gm02:11024575,1.55e-110,WGD
Glyma.01G055500,glyma.Wm82.gnm4.Gm01:7150937,Glyma.02G113900,glyma.Wm82.gnm4.Gm02:11028365,8.32e-54,WGD
Glyma.01G055900,glyma.Wm82.gnm4.Gm01:7212472,Glyma.02G114200,glyma.Wm82.gnm4.Gm02:11049999,9.93e-182,WGD
Glyma.01G056000,glyma.Wm82.gnm4.Gm01:7214517,Glyma.02G114300,glyma.Wm82.gnm4.Gm02:11051617,6.95e-146,WGD
Glyma.01G056202,glyma.Wm82.gnm4.Gm01:7249701,Glyma.02G114500,glyma.Wm82.gnm4.Gm02:11068294,9.53e-131,WGD
Glyma.01G056300,glyma.Wm82.gnm4.Gm01:7251763,Glyma.02G114800,glyma.Wm82.gnm4.Gm02:11099282,6.17e-92,WGD
Glyma.01G056400,glyma.Wm82.gnm4.Gm01:7281679,Glyma.02G115000,glyma.Wm82.gnm4.Gm02:11117286,2.18e-38,WGD
Glyma.01G056500,glyma.Wm82.gnm4.Gm01:7285256,Glyma.02G115100,glyma.Wm82.gnm4.Gm02:11120144,5.26e-186,WGD
Glyma.01G056800,glyma.Wm82.gnm4.Gm01:7350634,Glyma.02G115200,glyma.Wm82.gnm4.Gm02:11152718,7.80e-168,WGD
Glyma.01G056900,glyma.Wm82.gnm4.Gm01:7365717,Glyma.02G115300,glyma.Wm82.gnm4.Gm02:11170788,8.16e-246,WGD
Glyma.01G057100,glyma.Wm82.gnm4.Gm01:7487169,Glyma.02G115400,glyma.Wm82.gnm4.Gm02:11189966,0.0,WGD
Glyma.01G057400,glyma.Wm82.gnm4.Gm01:7556307,Glyma.02G115500,glyma.Wm82.gnm4.Gm02:11213275,5.71e-155,WGD
Glyma.01G057500,glyma.Wm82.gnm4.Gm01:7572697,Glyma.02G115600,glyma.Wm82.gnm4.Gm02:11221604,0.0,WGD
Glyma.01G057600,glyma.Wm82.gnm4.Gm01:7583373,Glyma.02G115700,glyma.Wm82.gnm4.Gm02:11227446,2.56e-168,WGD
Glyma.01G058000,glyma.Wm82.gnm4.Gm01:7624666,Glyma.02G115900,glyma.Wm82.gnm4.Gm02:11243632,4.28e-172,WGD
Glyma.01G058200,glyma.Wm82.gnm4.Gm01:7633282,Glyma.02G116000,glyma.Wm82.gnm4.Gm02:11255179,0.0,WGD
Glyma.01G058300,glyma.Wm82.gnm4.Gm01:7656092,Glyma.02G116100,glyma.Wm82.gnm4.Gm02:11264134,1.41e-89,WGD
Glyma.01G058400,glyma.Wm82.gnm4.Gm01:7668050,Glyma.02G116200,glyma.Wm82.gnm4.Gm02:11270210,1.90e-245,WGD
Glyma.01G058500,glyma.Wm82.gnm4.Gm01:7704525,Glyma.02G116300,glyma.Wm82.gnm4.Gm02:11289014,7.91e-297,WGD
Glyma.01G059100,glyma.Wm82.gnm4.Gm01:7788643,Glyma.02G116500,glyma.Wm82.gnm4.Gm02:11314338,3.34e-120,WGD
Glyma.01G059200,glyma.Wm82.gnm4.Gm01:7792477,Glyma.02G116567,glyma.Wm82.gnm4.Gm02:11319157,2.37e-105,WGD
Glyma.01G060001,glyma.Wm82.gnm4.Gm01:8072539,Glyma.02G117300,glyma.Wm82.gnm4.Gm02:11375580,3.54e-185,WGD
Glyma.01G060300,glyma.Wm82.gnm4.Gm01:8110242,Glyma.02G118500,glyma.Wm82.gnm4.Gm02:11395067,1.60e-191,WGD
Glyma.01G060700,glyma.Wm82.gnm4.Gm01:8352188,Glyma.02G119000,glyma.Wm82.gnm4.Gm02:11444367,0.0,WGD
Glyma.01G060900,glyma.Wm82.gnm4.Gm01:8376521,Glyma.02G119200,glyma.Wm82.gnm4.Gm02:11460574,6.78e-64,WGD
Glyma.01G061000,glyma.Wm82.gnm4.Gm01:8379879,Glyma.02G119300,glyma.Wm82.gnm4.Gm02:11464460,5.09e-181,WGD
Glyma.01G061100,glyma.Wm82.gnm4.Gm01:8417840,Glyma.02G119600,glyma.Wm82.gnm4.Gm02:11492582,0.0,WGD
Glyma.01G061500,glyma.Wm82.gnm4.Gm01:8456943,Glyma.02G119700,glyma.Wm82.gnm4.Gm02:11517796,0.0,WGD
Glyma.01G061700,glyma.Wm82.gnm4.Gm01:8502174,Glyma.02G120000,glyma.Wm82.gnm4.Gm02:11538455,0.0,WGD
Glyma.01G061900,glyma.Wm82.gnm4.Gm01:8543379,Glyma.02G120100,glyma.Wm82.gnm4.Gm02:11552410,1.62e-91,WGD
Glyma.01G062000,glyma.Wm82.gnm4.Gm01:8600175,Glyma.02G120200,glyma.Wm82.gnm4.Gm02:11569292,6.75e-184,WGD
Glyma.01G062100,glyma.Wm82.gnm4.Gm01:8608715,Glyma.02G120300,glyma.Wm82.gnm4.Gm02:11579941,0.0,WGD
Glyma.01G062200,glyma.Wm82.gnm4.Gm01:8615665,Glyma.02G120400,glyma.Wm82.gnm4.Gm02:11585221,8.21e-231,WGD
Glyma.01G062300,glyma.Wm82.gnm4.Gm01:8622553,Glyma.02G120500,glyma.Wm82.gnm4.Gm02:11593226,6.80e-115,WGD
Glyma.01G062400,glyma.Wm82.gnm4.Gm01:8695448,Glyma.02G120600,glyma.Wm82.gnm4.Gm02:11606590,0.0,WGD
Glyma.01G062900,glyma.Wm82.gnm4.Gm01:8866947,Glyma.02G120800,glyma.Wm82.gnm4.Gm02:11644679,0.0,WGD
Glyma.01G063000,glyma.Wm82.gnm4.Gm01:8902695,Glyma.02G120900,glyma.Wm82.gnm4.Gm02:11655987,4.90e-274,WGD
Glyma.01G063100,glyma.Wm82.gnm4.Gm01:8938530,Glyma.02G121000,glyma.Wm82.gnm4.Gm02:11671545,1.41e-255,WGD
Glyma.01G063500,glyma.Wm82.gnm4.Gm01:9047323,Glyma.02G121100,glyma.Wm82.gnm4.Gm02:11700952,2.38e-118,WGD
Glyma.01G063600,glyma.Wm82.gnm4.Gm01:9051769,Glyma.02G121200,glyma.Wm82.gnm4.Gm02:11706232,0.0,WGD
Glyma.01G063700,glyma.Wm82.gnm4.Gm01:9081128,Glyma.02G121300,glyma.Wm82.gnm4.Gm02:11724749,6.06e-317,WGD
Glyma.01G063800,glyma.Wm82.gnm4.Gm01:9204972,Glyma.02G121400,glyma.Wm82.gnm4.Gm02:11746672,1.20e-123,WGD
Glyma.01G064100,glyma.Wm82.gnm4.Gm01:9362414,Glyma.02G121500,glyma.Wm82.gnm4.Gm02:11783518,4.85e-160,WGD
Glyma.01G064200,glyma.Wm82.gnm4.Gm01:9477717,Glyma.02G121600,glyma.Wm82.gnm4.Gm02:11802537,8.01e-158,WGD
Glyma.01G064400,glyma.Wm82.gnm4.Gm01:9606548,Glyma.02G122200,glyma.Wm82.gnm4.Gm02:11859686,2.85e-282,WGD
Glyma.01G064500,glyma.Wm82.gnm4.Gm01:9667588,Glyma.02G122400,glyma.Wm82.gnm4.Gm02:11868377,1.15e-60,WGD
Glyma.01G064600,glyma.Wm82.gnm4.Gm01:9673488,Glyma.02G122500,glyma.Wm82.gnm4.Gm02:11876554,0.0,WGD
Glyma.01G064900,glyma.Wm82.gnm4.Gm01:9949521,Glyma.02G122700,glyma.Wm82.gnm4.Gm02:11946121,1.64e-261,WGD
Glyma.01G065000,glyma.Wm82.gnm4.Gm01:9980320,Glyma.02G122800,glyma.Wm82.gnm4.Gm02:11967809,6.25e-76,WGD
Glyma.01G065100,glyma.Wm82.gnm4.Gm01:10013216,Glyma.02G122900,glyma.Wm82.gnm4.Gm02:11976879,1.96e-165,WGD
Glyma.01G065400,glyma.Wm82.gnm4.Gm01:10055035,Glyma.02G123000,glyma.Wm82.gnm4.Gm02:11988846,0.0,WGD
Glyma.01G065500,glyma.Wm82.gnm4.Gm01:10064870,Glyma.02G123100,glyma.Wm82.gnm4.Gm02:11997058,7.68e-162,WGD
Glyma.01G066500,glyma.Wm82.gnm4.Gm01:10535201,Glyma.02G123200,glyma.Wm82.gnm4.Gm02:12007297,0.0,WGD
Glyma.01G066600,glyma.Wm82.gnm4.Gm01:10608327,Glyma.02G123400,glyma.Wm82.gnm4.Gm02:12024173,1.28e-221,WGD
Glyma.01G067000,glyma.Wm82.gnm4.Gm01:10795191,Glyma.02G123700,glyma.Wm82.gnm4.Gm02:12070183,0.0,WGD
Glyma.01G067200,glyma.Wm82.gnm4.Gm01:10940944,Glyma.02G124000,glyma.Wm82.gnm4.Gm02:12102246,1.50e-244,WGD
Glyma.01G067600,glyma.Wm82.gnm4.Gm01:11010647,Glyma.02G124100,glyma.Wm82.gnm4.Gm02:12109344,0.0,WGD
Glyma.01G067700,glyma.Wm82.gnm4.Gm01:11087233,Glyma.02G124200,glyma.Wm82.gnm4.Gm02:12124755,2.71e-26,WGD
Glyma.01G067800,glyma.Wm82.gnm4.Gm01:11197127,Glyma.02G124300,glyma.Wm82.gnm4.Gm02:12143587,3.29e-201,WGD
Glyma.01G067900,glyma.Wm82.gnm4.Gm01:11233724,Glyma.02G124400,glyma.Wm82.gnm4.Gm02:12154839,2.68e-240,WGD
Glyma.01G068000,glyma.Wm82.gnm4.Gm01:11272706,Glyma.02G124500,glyma.Wm82.gnm4.Gm02:12163023,0.0,WGD
Glyma.01G068200,glyma.Wm82.gnm4.Gm01:11331218,Glyma.02G124700,glyma.Wm82.gnm4.Gm02:12184359,5.61e-133,WGD
Glyma.01G068600,glyma.Wm82.gnm4.Gm01:11485466,Glyma.02G125200,glyma.Wm82.gnm4.Gm02:12226869,0.0,WGD
Glyma.01G068800,glyma.Wm82.gnm4.Gm01:11518664,Glyma.02G125400,glyma.Wm82.gnm4.Gm02:12248775,0.0,WGD
Glyma.01G069000,glyma.Wm82.gnm4.Gm01:11575741,Glyma.02G125900,glyma.Wm82.gnm4.Gm02:12317334,4.43e-75,WGD
Glyma.01G069300,glyma.Wm82.gnm4.Gm01:11696145,Glyma.02G126100,glyma.Wm82.gnm4.Gm02:12368578,1.88e-134,WGD
Glyma.01G069400,glyma.Wm82.gnm4.Gm01:11708387,Glyma.02G126200,glyma.Wm82.gnm4.Gm02:12376045,6.03e-56,WGD
Glyma.01G069500,glyma.Wm82.gnm4.Gm01:11716238,Glyma.02G126300,glyma.Wm82.gnm4.Gm02:12388346,0.0,WGD
Glyma.01G069700,glyma.Wm82.gnm4.Gm01:11758946,Glyma.02G126600,glyma.Wm82.gnm4.Gm02:12433705,2.91e-85,WGD
Glyma.01G070150,glyma.Wm82.gnm4.Gm01:11999138,Glyma.02G127200,glyma.Wm82.gnm4.Gm02:12547763,2.07e-153,WGD
Glyma.01G070200,glyma.Wm82.gnm4.Gm01:12003010,Glyma.02G127300,glyma.Wm82.gnm4.Gm02:12551286,1.44e-239,WGD
Glyma.01G070300,glyma.Wm82.gnm4.Gm01:12029990,Glyma.02G127400,glyma.Wm82.gnm4.Gm02:12572486,0.0,WGD
Glyma.01G070400,glyma.Wm82.gnm4.Gm01:12550833,Glyma.02G127600,glyma.Wm82.gnm4.Gm02:12697178,4.54e-221,WGD
Glyma.01G071400,glyma.Wm82.gnm4.Gm01:12886159,Glyma.02G128100,glyma.Wm82.gnm4.Gm02:12769804,6.90e-27,WGD
Glyma.01G159500,glyma.Wm82.gnm4.Gm01:50891507,Glyma.02G041700,glyma.Wm82.gnm4.Gm02:3910999,2.42e-239,WGD
Glyma.01G159800,glyma.Wm82.gnm4.Gm01:50933330,Glyma.02G041900,glyma.Wm82.gnm4.Gm02:3933187,2.65e-233,WGD
Glyma.01G160000,glyma.Wm82.gnm4.Gm01:50962096,Glyma.02G042000,glyma.Wm82.gnm4.Gm02:3935990,2.44e-120,WGD
Glyma.01G160100,glyma.Wm82.gnm4.Gm01:50975635,Glyma.02G042500,glyma.Wm82.gnm4.Gm02:3976327,1.57e-123,WGD
Glyma.01G160800,glyma.Wm82.gnm4.Gm01:51015930,Glyma.02G042600,glyma.Wm82.gnm4.Gm02:3982485,3.36e-70,WGD
Glyma.01G160900,glyma.Wm82.gnm4.Gm01:51019054,Glyma.02G042700,glyma.Wm82.gnm4.Gm02:3988574,2.73e-119,WGD
Glyma.01G162000,glyma.Wm82.gnm4.Gm01:51113458,Glyma.02G044000,glyma.Wm82.gnm4.Gm02:4063955,1.38e-72,WGD
Glyma.01G162700,glyma.Wm82.gnm4.Gm01:51164826,Glyma.02G044100,glyma.Wm82.gnm4.Gm02:4074483,4.70e-135,WGD
Glyma.01G162900,glyma.Wm82.gnm4.Gm01:51186167,Glyma.02G044300,glyma.Wm82.gnm4.Gm02:4090827,6.36e-124,WGD
Glyma.01G163000,glyma.Wm82.gnm4.Gm01:51196236,Glyma.02G045000,glyma.Wm82.gnm4.Gm02:4133137,1.23e-155,WGD
Glyma.01G163300,glyma.Wm82.gnm4.Gm01:51209893,Glyma.02G045400,glyma.Wm82.gnm4.Gm02:4163324,2.07e-111,WGD
Glyma.01G163500,glyma.Wm82.gnm4.Gm01:51225699,Glyma.02G045500,glyma.Wm82.gnm4.Gm02:4172328,7.22e-26,WGD
Glyma.01G163900,glyma.Wm82.gnm4.Gm01:51257403,Glyma.02G045700,glyma.Wm82.gnm4.Gm02:4185230,1.36e-99,WGD
Glyma.01G164000,glyma.Wm82.gnm4.Gm01:51262675,Glyma.02G045800,glyma.Wm82.gnm4.Gm02:4191397,4.12e-203,WGD
Glyma.01G164200,glyma.Wm82.gnm4.Gm01:51291094,Glyma.02G046100,glyma.Wm82.gnm4.Gm02:4224275,7.14e-136,WGD
Glyma.01G164800,glyma.Wm82.gnm4.Gm01:51331002,Glyma.02G046600,glyma.Wm82.gnm4.Gm02:4258103,0.0,WGD
Glyma.01G164900,glyma.Wm82.gnm4.Gm01:51348400,Glyma.02G046700,glyma.Wm82.gnm4.Gm02:4278835,2.29e-209,WGD
Glyma.01G165000,glyma.Wm82.gnm4.Gm01:51357192,Glyma.02G046800,glyma.Wm82.gnm4.Gm02:4284387,0.0,WGD
Glyma.01G165100,glyma.Wm82.gnm4.Gm01:51368984,Glyma.02G046900,glyma.Wm82.gnm4.Gm02:4296419,4.43e-200,WGD
Glyma.01G165300,glyma.Wm82.gnm4.Gm01:51383684,Glyma.02G047000,glyma.Wm82.gnm4.Gm02:4304419,7.46e-64,WGD
Glyma.01G165400,glyma.Wm82.gnm4.Gm01:51393213,Glyma.02G047400,glyma.Wm82.gnm4.Gm02:4337590,5.20e-152,WGD
Glyma.01G165900,glyma.Wm82.gnm4.Gm01:51448317,Glyma.02G047700,glyma.Wm82.gnm4.Gm02:4365983,0.0,WGD
Glyma.01G166000,glyma.Wm82.gnm4.Gm01:51465146,Glyma.02G047900,glyma.Wm82.gnm4.Gm02:4383777,2.83e-39,WGD
Glyma.01G166100,glyma.Wm82.gnm4.Gm01:51475859,Glyma.02G048300,glyma.Wm82.gnm4.Gm02:4409964,2.51e-309,WGD
Glyma.01G166200,glyma.Wm82.gnm4.Gm01:51506323,Glyma.02G048400,glyma.Wm82.gnm4.Gm02:4421974,9.54e-211,WGD
Glyma.01G166300,glyma.Wm82.gnm4.Gm01:51510905,Glyma.02G048700,glyma.Wm82.gnm4.Gm02:4437386,1.70e-76,WGD
Glyma.01G166700,glyma.Wm82.gnm4.Gm01:51556545,Glyma.02G049100,glyma.Wm82.gnm4.Gm02:4452570,2.24e-173,WGD
Glyma.01G167000,glyma.Wm82.gnm4.Gm01:51603994,Glyma.02G049200,glyma.Wm82.gnm4.Gm02:4460972,2.46e-61,WGD
Glyma.01G167300,glyma.Wm82.gnm4.Gm01:51617732,Glyma.02G049300,glyma.Wm82.gnm4.Gm02:4468026,2.47e-188,WGD
Glyma.01G167900,glyma.Wm82.gnm4.Gm01:51645347,Glyma.02G050100,glyma.Wm82.gnm4.Gm02:4519834,1.91e-160,WGD
Glyma.01G168100,glyma.Wm82.gnm4.Gm01:51681298,Glyma.02G050300,glyma.Wm82.gnm4.Gm02:4546628,4.15e-244,WGD
Glyma.01G168200,glyma.Wm82.gnm4.Gm01:51691746,Glyma.02G050400,glyma.Wm82.gnm4.Gm02:4558511,0.0,WGD
Glyma.01G169100,glyma.Wm82.gnm4.Gm01:51765580,Glyma.02G050700,glyma.Wm82.gnm4.Gm02:4582226,0.0,WGD
Glyma.01G169400,glyma.Wm82.gnm4.Gm01:51798555,Glyma.02G051100,glyma.Wm82.gnm4.Gm02:4604428,1.56e-69,WGD
Glyma.01G169500,glyma.Wm82.gnm4.Gm01:51810383,Glyma.02G051300,glyma.Wm82.gnm4.Gm02:4631803,3.61e-101,WGD
Glyma.01G170000,glyma.Wm82.gnm4.Gm01:51851969,Glyma.02G051600,glyma.Wm82.gnm4.Gm02:4658411,2.04e-219,WGD
Glyma.01G170200,glyma.Wm82.gnm4.Gm01:51872731,Glyma.02G051700,glyma.Wm82.gnm4.Gm02:4683497,0.0,WGD
