fam,geneA1,geneA2,geneB1,geneB2,geneA1_extracted,geneA2_extracted,geneB1_extracted,geneB2_extracted
Legume.fam3.00519,glyma.Wm82.gnm4.ann1.Glyma.07G257300.1,glyma.Wm82.gnm4.ann1.Glyma.17G016800.1,glyma.Wm82.gnm4.ann1.Glyma.13G208400.1,glyma.Wm82.gnm4.ann1.Glyma.15G104400.1,Glyma.07G257300,Glyma.17G016800,Glyma.13G208400,Glyma.15G104400
Legume.fam3.00521,glyma.Wm82.gnm4.ann1.Glyma.17G139400.1,glyma.Wm82.gnm4.ann1.Glyma.05G056900.2,glyma.Wm82.gnm4.ann1.Glyma.11G031500.1,glyma.Wm82.gnm4.ann1.Glyma.01G210500.1,Glyma.17G139400,Glyma.05G056900,Glyma.11G031500,Glyma.01G210500
Legume.fam3.00535,glyma.Wm82.gnm4.ann1.Glyma.17G254700.1,glyma.Wm82.gnm4.ann1.Glyma.14G216200.1,glyma.Wm82.gnm4.ann1.Glyma.04G027800.1,glyma.Wm82.gnm4.ann1.Glyma.06G028000.1,Glyma.17G254700,Glyma.14G216200,Glyma.04G027800,Glyma.06G028000
Legume.fam3.00536,glyma.Wm82.gnm4.ann1.Glyma.17G238200.1,glyma.Wm82.gnm4.ann1.Glyma.14G086300.1,glyma.Wm82.gnm4.ann1.Glyma.04G042100.1,glyma.Wm82.gnm4.ann1.Glyma.06G043000.1,Glyma.17G238200,Glyma.14G086300,Glyma.04G042100,Glyma.06G043000
Legume.fam3.00540,glyma.Wm82.gnm4.ann1.Glyma.07G007700.1,glyma.Wm82.gnm4.ann1.Glyma.08G190400.1,glyma.Wm82.gnm4.ann1.Glyma.15G025800.1,glyma.Wm82.gnm4.ann1.Glyma.13G348200.4,Glyma.07G007700,Glyma.08G190400,Glyma.15G025800,Glyma.13G348200
Legume.fam3.00541,glyma.Wm82.gnm4.ann1.Glyma.01G136300.1,glyma.Wm82.gnm4.ann1.Glyma.03G031800.1,glyma.Wm82.gnm4.ann1.Glyma.01G079500.1,glyma.Wm82.gnm4.ann1.Glyma.11G168219.1,Glyma.01G136300,Glyma.03G031800,Glyma.01G079500,Glyma.11G168219
Legume.fam3.00546,glyma.Wm82.gnm4.ann1.Glyma.15G167500.4,glyma.Wm82.gnm4.ann1.Glyma.09G061200.5,glyma.Wm82.gnm4.ann1.Glyma.13G101700.1,glyma.Wm82.gnm4.ann1.Glyma.17G057800.6,Glyma.15G167500,Glyma.09G061200,Glyma.13G101700,Glyma.17G057800
Legume.fam3.00554,glyma.Wm82.gnm4.ann1.Glyma.13G343300.1,glyma.Wm82.gnm4.ann1.Glyma.15G031100.1,glyma.Wm82.gnm4.ann1.Glyma.12G053500.1,glyma.Wm82.gnm4.ann1.Glyma.11G129000.1,Glyma.13G343300,Glyma.15G031100,Glyma.12G053500,Glyma.11G129000
Legume.fam3.00559,glyma.Wm82.gnm4.ann1.Glyma.07G006500.1,glyma.Wm82.gnm4.ann1.Glyma.08G207100.1,glyma.Wm82.gnm4.ann1.Glyma.15G014000.1,glyma.Wm82.gnm4.ann1.Glyma.13G360000.1,Glyma.07G006500,Glyma.08G207100,Glyma.15G014000,Glyma.13G360000
Legume.fam3.00561,glyma.Wm82.gnm4.ann1.Glyma.01G006000.1,glyma.Wm82.gnm4.ann1.Glyma.07G125600.1,glyma.Wm82.gnm4.ann1.Glyma.08G032800.1,glyma.Wm82.gnm4.ann1.Glyma.05G225900.1,Glyma.01G006000,Glyma.07G125600,Glyma.08G032800,Glyma.05G225900
Legume.fam3.00575,glyma.Wm82.gnm4.ann1.Glyma.06G191400.2,glyma.Wm82.gnm4.ann1.Glyma.04G172900.1,glyma.Wm82.gnm4.ann1.Glyma.17G098300.1,glyma.Wm82.gnm4.ann1.Glyma.05G028500.1,Glyma.06G191400,Glyma.04G172900,Glyma.17G098300,Glyma.05G028500
Legume.fam3.00577,glyma.Wm82.gnm4.ann1.Glyma.01G239800.1,glyma.Wm82.gnm4.ann1.Glyma.11G003900.1,glyma.Wm82.gnm4.ann1.Glyma.20G143000.1,glyma.Wm82.gnm4.ann1.Glyma.10G250700.1,Glyma.01G239800,Glyma.11G003900,Glyma.20G143000,Glyma.10G250700
Legume.fam3.00578,glyma.Wm82.gnm4.ann1.Glyma.01G156700.1,glyma.Wm82.gnm4.ann1.Glyma.11G088000.1,glyma.Wm82.gnm4.ann1.Glyma.16G113000.1,glyma.Wm82.gnm4.ann1.Glyma.09G196000.1,Glyma.01G156700,Glyma.11G088000,Glyma.16G113000,Glyma.09G196000
Legume.fam3.00581,glyma.Wm82.gnm4.ann1.Glyma.17G152900.1,glyma.Wm82.gnm4.ann1.Glyma.05G070266.1,glyma.Wm82.gnm4.ann1.Glyma.11G041400.1,glyma.Wm82.gnm4.ann1.Glyma.01G200700.1,Glyma.17G152900,Glyma.05G070266,Glyma.11G041400,Glyma.01G200700
Legume.fam3.00593,glyma.Wm82.gnm4.ann1.Glyma.12G087700.1,glyma.Wm82.gnm4.ann1.Glyma.11G184700.1,glyma.Wm82.gnm4.ann1.Glyma.13G317300.2,glyma.Wm82.gnm4.ann1.Glyma.12G183700.1,Glyma.12G087700,Glyma.11G184700,Glyma.13G317300,Glyma.12G183700
Legume.fam3.00595,glyma.Wm82.gnm4.ann1.Glyma.08G209100.1,glyma.Wm82.gnm4.ann1.Glyma.07G033100.1,glyma.Wm82.gnm4.ann1.Glyma.13G362300.1,glyma.Wm82.gnm4.ann1.Glyma.15G011500.1,Glyma.08G209100,Glyma.07G033100,Glyma.13G362300,Glyma.15G011500
Legume.fam3.00598,glyma.Wm82.gnm4.ann1.Glyma.07G262600.3,glyma.Wm82.gnm4.ann1.Glyma.17G011500.1,glyma.Wm82.gnm4.ann1.Glyma.15G110200.2,glyma.Wm82.gnm4.ann1.Glyma.09G005600.1,Glyma.07G262600,Glyma.17G011500,Glyma.15G110200,Glyma.09G005600
Legume.fam3.00599,glyma.Wm82.gnm4.ann1.Glyma.13G052900.3,glyma.Wm82.gnm4.ann1.Glyma.19G033900.1,glyma.Wm82.gnm4.ann1.Glyma.18G272300.1,glyma.Wm82.gnm4.ann1.Glyma.08G250000.1,Glyma.13G052900,Glyma.19G033900,Glyma.18G272300,Glyma.08G250000
Legume.fam3.00601,glyma.Wm82.gnm4.ann1.Glyma.07G101800.1,glyma.Wm82.gnm4.ann1.Glyma.09G177300.1,glyma.Wm82.gnm4.ann1.Glyma.08G052500.1,glyma.Wm82.gnm4.ann1.Glyma.05G244600.1,Glyma.07G101800,Glyma.09G177300,Glyma.08G052500,Glyma.05G244600
Legume.fam3.00602,glyma.Wm82.gnm4.ann1.Glyma.07G093900.1,glyma.Wm82.gnm4.ann1.Glyma.09G182400.1,glyma.Wm82.gnm4.ann1.Glyma.08G044400.2,glyma.Wm82.gnm4.ann1.Glyma.05G237200.1,Glyma.07G093900,Glyma.09G182400,Glyma.08G044400,Glyma.05G237200
Legume.fam3.00605,glyma.Wm82.gnm4.ann1.Glyma.19G250900.10,glyma.Wm82.gnm4.ann1.Glyma.03G253400.1,glyma.Wm82.gnm4.ann1.Glyma.10G169100.1,glyma.Wm82.gnm4.ann1.Glyma.20G220500.1,Glyma.19G250900,Glyma.03G253400,Glyma.10G169100,Glyma.20G220500
Legume.fam3.00606,glyma.Wm82.gnm4.ann1.Glyma.04G246600.1,glyma.Wm82.gnm4.ann1.Glyma.06G116100.1,glyma.Wm82.gnm4.ann1.Glyma.14G154200.1,glyma.Wm82.gnm4.ann1.Glyma.13G031500.1,Glyma.04G246600,Glyma.06G116100,Glyma.14G154200,Glyma.13G031500
Legume.fam3.00607,glyma.Wm82.gnm4.ann1.Glyma.17G204800.1,glyma.Wm82.gnm4.ann1.Glyma.14G128900.1,glyma.Wm82.gnm4.ann1.Glyma.04G071700.1,glyma.Wm82.gnm4.ann1.Glyma.06G073000.1,Glyma.17G204800,Glyma.14G128900,Glyma.04G071700,Glyma.06G073000
Legume.fam3.00609,glyma.Wm82.gnm4.ann1.Glyma.18G038500.1,glyma.Wm82.gnm4.ann1.Glyma.11G218900.5,glyma.Wm82.gnm4.ann1.Glyma.02G247600.3,glyma.Wm82.gnm4.ann1.Glyma.14G068700.1,Glyma.18G038500,Glyma.11G218900,Glyma.02G247600,Glyma.14G068700
Legume.fam3.00611,glyma.Wm82.gnm4.ann1.Glyma.18G080000.1,glyma.Wm82.gnm4.ann1.Glyma.08G327400.1,glyma.Wm82.gnm4.ann1.Glyma.14G014700.1,glyma.Wm82.gnm4.ann1.Glyma.02G299100.1,Glyma.18G080000,Glyma.08G327400,Glyma.14G014700,Glyma.02G299100
Legume.fam3.00616,glyma.Wm82.gnm4.ann1.Glyma.15G081600.2,glyma.Wm82.gnm4.ann1.Glyma.13G230800.5,glyma.Wm82.gnm4.ann1.Glyma.02G140100.1,glyma.Wm82.gnm4.ann1.Glyma.07G205200.1,Glyma.15G081600,Glyma.13G230800,Glyma.02G140100,Glyma.07G205200
Legume.fam3.00617,glyma.Wm82.gnm4.ann1.Glyma.13G225700.1,glyma.Wm82.gnm4.ann1.Glyma.15G086400.3,glyma.Wm82.gnm4.ann1.Glyma.05G162300.4,glyma.Wm82.gnm4.ann1.Glyma.08G119900.4,Glyma.13G225700,Glyma.15G086400,Glyma.05G162300,Glyma.08G119900
Legume.fam3.00624,glyma.Wm82.gnm4.ann1.Glyma.15G021202.1,glyma.Wm82.gnm4.ann1.Glyma.13G353100.1,glyma.Wm82.gnm4.ann1.Glyma.08G199500.1,glyma.Wm82.gnm4.ann1.Glyma.07G014100.1,Glyma.15G021202,Glyma.13G353100,Glyma.08G199500,Glyma.07G014100
Legume.fam3.00626,glyma.Wm82.gnm4.ann1.Glyma.08G008400.1,glyma.Wm82.gnm4.ann1.Glyma.05G201100.2,glyma.Wm82.gnm4.ann1.Glyma.04G200400.4,glyma.Wm82.gnm4.ann1.Glyma.06G165200.3,Glyma.08G008400,Glyma.05G201100,Glyma.04G200400,Glyma.06G165200
Legume.fam3.00629,glyma.Wm82.gnm4.ann1.Glyma.15G095500.1,glyma.Wm82.gnm4.ann1.Glyma.13G217000.1,glyma.Wm82.gnm4.ann1.Glyma.07G250000.1,glyma.Wm82.gnm4.ann1.Glyma.17G024400.1,Glyma.15G095500,Glyma.13G217000,Glyma.07G250000,Glyma.17G024400
Legume.fam3.00631,glyma.Wm82.gnm4.ann1.Glyma.07G238000.4,glyma.Wm82.gnm4.ann1.Glyma.17G035400.4,glyma.Wm82.gnm4.ann1.Glyma.09G034300.1,glyma.Wm82.gnm4.ann1.Glyma.15G139000.1,Glyma.07G238000,Glyma.17G035400,Glyma.09G034300,Glyma.15G139000
Legume.fam3.00632,glyma.Wm82.gnm4.ann1.Glyma.17G035900.3,glyma.Wm82.gnm4.ann1.Glyma.07G237600.2,glyma.Wm82.gnm4.ann1.Glyma.15G138500.1,glyma.Wm82.gnm4.ann1.Glyma.09G033800.4,Glyma.17G035900,Glyma.07G237600,Glyma.15G138500,Glyma.09G033800
Legume.fam3.00637,glyma.Wm82.gnm4.ann1.Glyma.05G058700.1,glyma.Wm82.gnm4.ann1.Glyma.17G141100.1,glyma.Wm82.gnm4.ann1.Glyma.01G210100.1,glyma.Wm82.gnm4.ann1.Glyma.11G032000.1,Glyma.05G058700,Glyma.17G141100,Glyma.01G210100,Glyma.11G032000
Legume.fam3.00644,glyma.Wm82.gnm4.ann1.Glyma.01G002300.1,glyma.Wm82.gnm4.ann1.Glyma.07G130100.1,glyma.Wm82.gnm4.ann1.Glyma.06G271600.1,glyma.Wm82.gnm4.ann1.Glyma.12G133400.1,Glyma.01G002300,Glyma.07G130100,Glyma.06G271600,Glyma.12G133400
Legume.fam3.00645,glyma.Wm82.gnm4.ann1.Glyma.07G011000.1,glyma.Wm82.gnm4.ann1.Glyma.08G194200.1,glyma.Wm82.gnm4.ann1.Glyma.15G023400.1,glyma.Wm82.gnm4.ann1.Glyma.13G351200.1,Glyma.07G011000,Glyma.08G194200,Glyma.15G023400,Glyma.13G351200
Legume.fam3.00647,glyma.Wm82.gnm4.ann1.Glyma.08G086300.1,glyma.Wm82.gnm4.ann1.Glyma.05G131800.6,glyma.Wm82.gnm4.ann1.Glyma.09G052700.8,glyma.Wm82.gnm4.ann1.Glyma.15G159000.6,Glyma.08G086300,Glyma.05G131800,Glyma.09G052700,Glyma.15G159000
Legume.fam3.00648,glyma.Wm82.gnm4.ann1.Glyma.07G153100.1,glyma.Wm82.gnm4.ann1.Glyma.18G204200.1,glyma.Wm82.gnm4.ann1.Glyma.01G118000.3,glyma.Wm82.gnm4.ann1.Glyma.03G055100.1,Glyma.07G153100,Glyma.18G204200,Glyma.01G118000,Glyma.03G055100
Legume.fam3.00649,glyma.Wm82.gnm4.ann1.Glyma.18G205800.1,glyma.Wm82.gnm4.ann1.Glyma.07G155200.1,glyma.Wm82.gnm4.ann1.Glyma.01G124500.1,glyma.Wm82.gnm4.ann1.Glyma.03G050100.1,Glyma.18G205800,Glyma.07G155200,Glyma.01G124500,Glyma.03G050100
Legume.fam3.00653,glyma.Wm82.gnm4.ann1.Glyma.13G367600.1,glyma.Wm82.gnm4.ann1.Glyma.15G005800.1,glyma.Wm82.gnm4.ann1.Glyma.07G027900.1,glyma.Wm82.gnm4.ann1.Glyma.08G214800.1,Glyma.13G367600,Glyma.15G005800,Glyma.07G027900,Glyma.08G214800
Legume.fam3.00655,glyma.Wm82.gnm4.ann1.Glyma.02G095200.1,glyma.Wm82.gnm4.ann1.Glyma.18G286200.1,glyma.Wm82.gnm4.ann1.Glyma.10G290900.2,glyma.Wm82.gnm4.ann1.Glyma.20G240000.1,Glyma.02G095200,Glyma.18G286200,Glyma.10G290900,Glyma.20G240000
Legume.fam3.00657,glyma.Wm82.gnm4.ann1.Glyma.07G100400.1,glyma.Wm82.gnm4.ann1.Glyma.09G178200.1,glyma.Wm82.gnm4.ann1.Glyma.08G052100.1,glyma.Wm82.gnm4.ann1.Glyma.05G244200.1,Glyma.07G100400,Glyma.09G178200,Glyma.08G052100,Glyma.05G244200
Legume.fam3.00658,glyma.Wm82.gnm4.ann1.Glyma.05G232400.18,glyma.Wm82.gnm4.ann1.Glyma.08G039800.5,glyma.Wm82.gnm4.ann1.Glyma.09G188000.5,glyma.Wm82.gnm4.ann1.Glyma.07G089000.2,Glyma.05G232400,Glyma.08G039800,Glyma.09G188000,Glyma.07G089000
Legume.fam3.00660,glyma.Wm82.gnm4.ann1.Glyma.03G169600.1,glyma.Wm82.gnm4.ann1.Glyma.19G170800.1,glyma.Wm82.gnm4.ann1.Glyma.13G128800.1,glyma.Wm82.gnm4.ann1.Glyma.10G041800.3,Glyma.03G169600,Glyma.19G170800,Glyma.13G128800,Glyma.10G041800
Legume.fam3.00661,glyma.Wm82.gnm4.ann1.Glyma.19G173800.1,glyma.Wm82.gnm4.ann1.Glyma.03G172900.1,glyma.Wm82.gnm4.ann1.Glyma.10G044800.1,glyma.Wm82.gnm4.ann1.Glyma.13G132500.1,Glyma.19G173800,Glyma.03G172900,Glyma.10G044800,Glyma.13G132500
Legume.fam3.00663,glyma.Wm82.gnm4.ann1.Glyma.08G070400.1,glyma.Wm82.gnm4.ann1.Glyma.13G042600.1,glyma.Wm82.gnm4.ann1.Glyma.08G177300.1,glyma.Wm82.gnm4.ann1.Glyma.15G055700.1,Glyma.08G070400,Glyma.13G042600,Glyma.08G177300,Glyma.15G055700
Legume.fam3.00664,glyma.Wm82.gnm4.ann1.Glyma.14G216400.1,glyma.Wm82.gnm4.ann1.Glyma.17G255000.1,glyma.Wm82.gnm4.ann1.Glyma.04G027400.1,glyma.Wm82.gnm4.ann1.Glyma.06G027500.6,Glyma.14G216400,Glyma.17G255000,Glyma.04G027400,Glyma.06G027500
Legume.fam3.00665,glyma.Wm82.gnm4.ann1.Glyma.04G028600.1,glyma.Wm82.gnm4.ann1.Glyma.06G028700.3,glyma.Wm82.gnm4.ann1.Glyma.17G254100.1,glyma.Wm82.gnm4.ann1.Glyma.14G070600.4,Glyma.04G028600,Glyma.06G028700,Glyma.17G254100,Glyma.14G070600
Legume.fam3.00667,glyma.Wm82.gnm4.ann1.Glyma.17G202000.3,glyma.Wm82.gnm4.ann1.Glyma.14G133200.1,glyma.Wm82.gnm4.ann1.Glyma.06G075700.1,glyma.Wm82.gnm4.ann1.Glyma.04G074600.1,Glyma.17G202000,Glyma.14G133200,Glyma.06G075700,Glyma.04G074600
Legume.fam3.00668,glyma.Wm82.gnm4.ann1.Glyma.04G067000.4,glyma.Wm82.gnm4.ann1.Glyma.06G068500.4,glyma.Wm82.gnm4.ann1.Glyma.14G116900.1,glyma.Wm82.gnm4.ann1.Glyma.17G210800.8,Glyma.04G067000,Glyma.06G068500,Glyma.14G116900,Glyma.17G210800
Legume.fam3.00669,glyma.Wm82.gnm4.ann1.Glyma.14G116600.2,glyma.Wm82.gnm4.ann1.Glyma.17G211100.1,glyma.Wm82.gnm4.ann1.Glyma.06G068300.2,glyma.Wm82.gnm4.ann1.Glyma.04G066800.1,Glyma.14G116600,Glyma.17G211100,Glyma.06G068300,Glyma.04G066800
Legume.fam3.00670,glyma.Wm82.gnm4.ann1.Glyma.17G216600.1,glyma.Wm82.gnm4.ann1.Glyma.14G111300.1,glyma.Wm82.gnm4.ann1.Glyma.06G063800.1,glyma.Wm82.gnm4.ann1.Glyma.04G062700.1,Glyma.17G216600,Glyma.14G111300,Glyma.06G063800,Glyma.04G062700
Legume.fam3.00672,glyma.Wm82.gnm4.ann1.Glyma.18G034100.1,glyma.Wm82.gnm4.ann1.Glyma.11G223800.4,glyma.Wm82.gnm4.ann1.Glyma.02G251800.1,glyma.Wm82.gnm4.ann1.Glyma.14G065000.1,Glyma.18G034100,Glyma.11G223800,Glyma.02G251800,Glyma.14G065000
Legume.fam3.00675,glyma.Wm82.gnm4.ann1.Glyma.18G114800.1,glyma.Wm82.gnm4.ann1.Glyma.08G304300.2,glyma.Wm82.gnm4.ann1.Glyma.02G282600.1,glyma.Wm82.gnm4.ann1.Glyma.14G031700.1,Glyma.18G114800,Glyma.08G304300,Glyma.02G282600,Glyma.14G031700
Legume.fam3.00685,glyma.Wm82.gnm4.ann1.Glyma.07G015800.1,glyma.Wm82.gnm4.ann1.Glyma.08G201300.1,glyma.Wm82.gnm4.ann1.Glyma.13G355000.1,glyma.Wm82.gnm4.ann1.Glyma.15G019200.1,Glyma.07G015800,Glyma.08G201300,Glyma.13G355000,Glyma.15G019200
Legume.fam3.00687,glyma.Wm82.gnm4.ann1.Glyma.06G165700.1,glyma.Wm82.gnm4.ann1.Glyma.04G199900.1,glyma.Wm82.gnm4.ann1.Glyma.08G009100.1,glyma.Wm82.gnm4.ann1.Glyma.05G201700.1,Glyma.06G165700,Glyma.04G199900,Glyma.08G009100,Glyma.05G201700
Legume.fam3.00688,glyma.Wm82.gnm4.ann1.Glyma.05G199200.1,glyma.Wm82.gnm4.ann1.Glyma.08G006500.1,glyma.Wm82.gnm4.ann1.Glyma.06G162600.2,glyma.Wm82.gnm4.ann1.Glyma.04G202900.3,Glyma.05G199200,Glyma.08G006500,Glyma.06G162600,Glyma.04G202900
Legume.fam3.00691,glyma.Wm82.gnm4.ann1.Glyma.09G062900.3,glyma.Wm82.gnm4.ann1.Glyma.15G169500.4,glyma.Wm82.gnm4.ann1.Glyma.13G104000.1,glyma.Wm82.gnm4.ann1.Glyma.17G055100.1,Glyma.09G062900,Glyma.15G169500,Glyma.13G104000,Glyma.17G055100
Legume.fam3.00694,glyma.Wm82.gnm4.ann1.Glyma.16G126500.1,glyma.Wm82.gnm4.ann1.Glyma.02G047000.1,glyma.Wm82.gnm4.ann1.Glyma.01G165300.1,glyma.Wm82.gnm4.ann1.Glyma.11G077900.1,Glyma.16G126500,Glyma.02G047000,Glyma.01G165300,Glyma.11G077900
Legume.fam3.00698,glyma.Wm82.gnm4.ann1.Glyma.05G110600.1,glyma.Wm82.gnm4.ann1.Glyma.17G156100.1,glyma.Wm82.gnm4.ann1.Glyma.11G043700.1,glyma.Wm82.gnm4.ann1.Glyma.01G197900.1,Glyma.05G110600,Glyma.17G156100,Glyma.11G043700,Glyma.01G197900
Legume.fam3.00699,glyma.Wm82.gnm4.ann1.Glyma.05G070200.1,glyma.Wm82.gnm4.ann1.Glyma.17G152800.1,glyma.Wm82.gnm4.ann1.Glyma.11G041300.2,glyma.Wm82.gnm4.ann1.Glyma.01G200800.2,Glyma.05G070200,Glyma.17G152800,Glyma.11G041300,Glyma.01G200800
