Dup,duplication_status
Glyma.01G017300,WGD
Glyma.01G017400,WGD
Glyma.01G017700,WGD
Glyma.01G017800,WGD
Glyma.01G018000,WGD
Glyma.01G018300,WGD
Glyma.01G018400,WGD
Glyma.01G018500,WGD
Glyma.01G018600,WGD
Glyma.01G018700,WGD
Glyma.01G018800,WGD
Glyma.01G018900,WGD
Glyma.01G019000,WGD
Glyma.01G019100,WGD
Glyma.01G019200,WGD
Glyma.01G019300,WGD
Glyma.01G019400,WGD
Glyma.01G019500,WGD
Glyma.01G019600,WGD
Glyma.01G019700,WGD
Glyma.01G019800,WGD
Glyma.01G019900,WGD
Glyma.01G020000,WGD
Glyma.01G020100,WGD
Glyma.01G020200,WGD
Glyma.01G020300,WGD
Glyma.01G020400,WGD
Glyma.01G020500,WGD
Glyma.01G020600,WGD
Glyma.01G020800,WGD
Glyma.01G020900,WGD
Glyma.01G021100,WGD
Glyma.01G021200,WGD
Glyma.01G021301,WGD
Glyma.01G021400,WGD
Glyma.01G021600,WGD
Glyma.01G022400,WGD
Glyma.01G022500,WGD
Glyma.01G022600,WGD
Glyma.01G022700,WGD
Glyma.01G022800,WGD
Glyma.01G022900,WGD
Glyma.01G023000,WGD
Glyma.01G023100,WGD
Glyma.01G023200,WGD
Glyma.01G023300,WGD
Glyma.01G023400,WGD
Glyma.01G023500,WGD
Glyma.01G023600,WGD
Glyma.01G023700,WGD
Glyma.01G023767,WGD
Glyma.01G023833,WGD
Glyma.01G023900,WGD
Glyma.01G024000,WGD
Glyma.01G024300,WGD
Glyma.01G024600,WGD
Glyma.01G024700,WGD
Glyma.01G024800,WGD
Glyma.01G024900,WGD
Glyma.01G025000,WGD
Glyma.01G025100,WGD
Glyma.01G025200,WGD
Glyma.01G025300,WGD
Glyma.01G025400,WGD
Glyma.01G025600,WGD
Glyma.01G025800,WGD
Glyma.01G025900,WGD
Glyma.01G026000,WGD
Glyma.01G026100,WGD
Glyma.01G026200,WGD
Glyma.01G026400,WGD
Glyma.01G026500,WGD
Glyma.01G026600,WGD
Glyma.01G026700,WGD
Glyma.01G026800,WGD
Glyma.01G027000,WGD
Glyma.01G027100,WGD
Glyma.01G027300,WGD
Glyma.01G027400,WGD
Glyma.01G027433,WGD
Glyma.01G027800,WGD
Glyma.01G027900,WGD
Glyma.01G027967,WGD
Glyma.01G028100,WGD
Glyma.01G028200,WGD
Glyma.01G028300,WGD
Glyma.01G028600,WGD
Glyma.01G028700,WGD
Glyma.01G028800,WGD
Glyma.01G028900,WGD
Glyma.01G029000,WGD
Glyma.01G029100,WGD
Glyma.01G029300,WGD
Glyma.01G029500,WGD
Glyma.01G029800,WGD
Glyma.01G029900,WGD
Glyma.01G030000,WGD
Glyma.01G030200,WGD
Glyma.01G030300,WGD
Glyma.01G030400,WGD
Glyma.01G030500,WGD
Glyma.01G030600,WGD
Glyma.01G030900,WGD
Glyma.01G031300,WGD
Glyma.01G031400,WGD
Glyma.01G031500,WGD
Glyma.01G031700,WGD
Glyma.01G031800,WGD
Glyma.01G031900,WGD
Glyma.01G032000,WGD
Glyma.01G032100,WGD
Glyma.01G032200,WGD
Glyma.01G032300,WGD
Glyma.01G032400,WGD
Glyma.01G032500,WGD
Glyma.01G032600,WGD
Glyma.01G033500,WGD
Glyma.01G033800,WGD
Glyma.01G034000,WGD
Glyma.01G034100,WGD
Glyma.01G034200,WGD
Glyma.01G034300,WGD
Glyma.01G034800,WGD
Glyma.01G035000,WGD
Glyma.01G035100,WGD
Glyma.01G035300,WGD
Glyma.01G035400,WGD
Glyma.01G035600,WGD
Glyma.01G035700,WGD
Glyma.01G036000,WGD
Glyma.01G036200,WGD
Glyma.01G036300,WGD
Glyma.01G036400,WGD
Glyma.01G036500,WGD
Glyma.01G036600,WGD
Glyma.01G036700,WGD
Glyma.01G036800,WGD
Glyma.01G036900,WGD
Glyma.01G037100,WGD
Glyma.01G037200,WGD
Glyma.01G037300,WGD
Glyma.01G037400,WGD
Glyma.01G037500,WGD
Glyma.01G037600,WGD
Glyma.01G037700,WGD
Glyma.01G037800,WGD
Glyma.01G037900,WGD
Glyma.01G038002,WGD
Glyma.01G038100,WGD
Glyma.01G038250,WGD
Glyma.01G038300,WGD
Glyma.01G038400,WGD
Glyma.01G038500,WGD
Glyma.01G038600,WGD
Glyma.01G038700,WGD
Glyma.01G038800,WGD
Glyma.01G038900,WGD
Glyma.01G039000,WGD
Glyma.01G039100,WGD
Glyma.01G039200,WGD
Glyma.01G039400,WGD
Glyma.01G039500,WGD
Glyma.01G039600,WGD
Glyma.01G039700,WGD
Glyma.01G039800,WGD
Glyma.01G039900,WGD
Glyma.01G040000,WGD
Glyma.01G040300,WGD
Glyma.01G040400,WGD
Glyma.01G040500,WGD
Glyma.01G040600,WGD
Glyma.01G040700,WGD
Glyma.01G041300,WGD
Glyma.01G041400,WGD
Glyma.01G041450,WGD
Glyma.01G041500,WGD
Glyma.01G041600,WGD
Glyma.01G041651,WGD
Glyma.01G041700,WGD
Glyma.01G042100,WGD
Glyma.01G042300,WGD
Glyma.01G042400,WGD
Glyma.01G042500,WGD
Glyma.01G042600,WGD
Glyma.01G042700,WGD
Glyma.01G042800,WGD
Glyma.01G043000,WGD
Glyma.01G043300,WGD
Glyma.01G043400,WGD
Glyma.01G043600,WGD
Glyma.01G043700,WGD
Glyma.01G043800,WGD
Glyma.01G044000,WGD
Glyma.01G044100,WGD
Glyma.01G044200,WGD
Glyma.01G044300,WGD
Glyma.01G044500,WGD
Glyma.01G044600,WGD
Glyma.01G044800,WGD
Glyma.01G044900,WGD
Glyma.01G045100,WGD
Glyma.01G045200,WGD
Glyma.01G045300,WGD
Glyma.01G045400,WGD
Glyma.01G045500,WGD
Glyma.01G045700,WGD
Glyma.01G045800,WGD
Glyma.01G045900,WGD
Glyma.01G046000,WGD
Glyma.01G046400,WGD
Glyma.01G046500,WGD
Glyma.01G046600,WGD
Glyma.01G046700,WGD
Glyma.01G046800,WGD
Glyma.01G046900,WGD
Glyma.01G047000,WGD
Glyma.01G047700,WGD
Glyma.01G047900,WGD
Glyma.01G048000,WGD
Glyma.01G048100,WGD
Glyma.01G048200,WGD
Glyma.01G048500,WGD
Glyma.01G048600,WGD
Glyma.01G048700,WGD
Glyma.01G048800,WGD
Glyma.01G049100,WGD
Glyma.01G049400,WGD
Glyma.01G049500,WGD
Glyma.01G049600,WGD
Glyma.01G049900,WGD
Glyma.01G050100,WGD
Glyma.01G050350,WGD
Glyma.01G050400,WGD
Glyma.01G050500,WGD
Glyma.01G050700,WGD
Glyma.01G051300,WGD
Glyma.01G051400,WGD
Glyma.01G051700,WGD
Glyma.01G052200,WGD
Glyma.01G052400,WGD
Glyma.01G052500,WGD
Glyma.01G052600,WGD
Glyma.01G052700,WGD
Glyma.01G052800,WGD
Glyma.01G052900,WGD
Glyma.01G053100,WGD
Glyma.01G053200,WGD
Glyma.01G053300,WGD
Glyma.01G053600,WGD
Glyma.01G053700,WGD
Glyma.01G053800,WGD
Glyma.01G054000,WGD
Glyma.01G054100,WGD
Glyma.01G054200,WGD
Glyma.01G054300,WGD
Glyma.01G054400,WGD
Glyma.01G054500,WGD
Glyma.01G054800,WGD
Glyma.01G054900,WGD
Glyma.01G055000,WGD
Glyma.01G055200,WGD
Glyma.01G055300,WGD
Glyma.01G055400,WGD
Glyma.01G055500,WGD
Glyma.01G055900,WGD
Glyma.01G056000,WGD
Glyma.01G056202,WGD
Glyma.01G056300,WGD
Glyma.01G056400,WGD
Glyma.01G056500,WGD
Glyma.01G056800,WGD
Glyma.01G056900,WGD
Glyma.01G057100,WGD
Glyma.01G057200,WGD
Glyma.01G057400,WGD
Glyma.01G057500,WGD
Glyma.01G057600,WGD
Glyma.01G058000,WGD
Glyma.01G058200,WGD
Glyma.01G058300,WGD
Glyma.01G058400,WGD
Glyma.01G058500,WGD
Glyma.01G059100,WGD
Glyma.01G059200,WGD
Glyma.01G060001,WGD
Glyma.01G060300,WGD
Glyma.01G060700,WGD
Glyma.01G060900,WGD
Glyma.01G061000,WGD
Glyma.01G061100,WGD
Glyma.01G061500,WGD
Glyma.01G061700,WGD
Glyma.01G061900,WGD
Glyma.01G062000,WGD
Glyma.01G062100,WGD
Glyma.01G062200,WGD
Glyma.01G062300,WGD
Glyma.01G062400,WGD
Glyma.01G062900,WGD
Glyma.01G063000,WGD
Glyma.01G063100,WGD
Glyma.01G063500,WGD
Glyma.01G063600,WGD
Glyma.01G063700,WGD
Glyma.01G063800,WGD
Glyma.01G064100,WGD
Glyma.01G064200,WGD
Glyma.01G064400,WGD
Glyma.01G064500,WGD
Glyma.01G064600,WGD
Glyma.01G064900,WGD
Glyma.01G065000,WGD
Glyma.01G065100,WGD
Glyma.01G065400,WGD
Glyma.01G065500,WGD
Glyma.01G066500,WGD
Glyma.01G066600,WGD
Glyma.01G067000,WGD
Glyma.01G067200,WGD
Glyma.01G067600,WGD
Glyma.01G067700,WGD
Glyma.01G067800,WGD
Glyma.01G067900,WGD
Glyma.01G068000,WGD
Glyma.01G068200,WGD
Glyma.01G068600,WGD
Glyma.01G068800,WGD
Glyma.01G069000,WGD
Glyma.01G069300,WGD
Glyma.01G069400,WGD
Glyma.01G069500,WGD
Glyma.01G069700,WGD
Glyma.01G070150,WGD
Glyma.01G070200,WGD
Glyma.01G070300,WGD
Glyma.01G070400,WGD
Glyma.01G071400,WGD
Glyma.01G073200,WGD
Glyma.01G075100,WGD
Glyma.01G075800,WGD
Glyma.01G076100,WGD
Glyma.01G076200,WGD
Glyma.01G076900,WGD
Glyma.01G077000,WGD
Glyma.01G078000,WGD
Glyma.01G078200,WGD
Glyma.01G078300,WGD
Glyma.01G078400,WGD
Glyma.01G078600,WGD
Glyma.01G079000,WGD
Glyma.01G079100,WGD
Glyma.01G079500,WGD
Glyma.01G079900,WGD
Glyma.01G080500,WGD
Glyma.01G080600,WGD
Glyma.01G081050,WGD
Glyma.01G081100,WGD
Glyma.01G081300,WGD
Glyma.01G081500,WGD
Glyma.01G081900,WGD
Glyma.01G082000,WGD
Glyma.01G082200,WGD
Glyma.01G082400,WGD
Glyma.01G082500,WGD
Glyma.01G082700,WGD
Glyma.01G083000,WGD
Glyma.01G083100,WGD
Glyma.01G083700,WGD
Glyma.01G083900,WGD
Glyma.01G084200,WGD
Glyma.01G084500,WGD
Glyma.01G084600,WGD
Glyma.01G084700,WGD
Glyma.01G084800,WGD
Glyma.01G086201,WGD
Glyma.01G086700,WGD
Glyma.01G086800,WGD
Glyma.01G086900,WGD
Glyma.01G087000,WGD
Glyma.01G087500,WGD
Glyma.01G087700,WGD
Glyma.01G087800,WGD
Glyma.01G087900,WGD
Glyma.01G088000,WGD
Glyma.01G088200,WGD
Glyma.01G088300,WGD
Glyma.01G089100,WGD
Glyma.01G089202,WGD
Glyma.01G089300,WGD
Glyma.01G089500,WGD
Glyma.01G089700,WGD
Glyma.01G089800,WGD
Glyma.01G089900,WGD
Glyma.01G090002,WGD
Glyma.01G090200,WGD
Glyma.01G090400,WGD
Glyma.01G090700,WGD
Glyma.01G091000,WGD
Glyma.01G091100,WGD
Glyma.01G091300,WGD
Glyma.01G091400,WGD
Glyma.01G091800,WGD
Glyma.01G092100,WGD
Glyma.01G092400,WGD
Glyma.01G092900,WGD
Glyma.01G093200,WGD
Glyma.01G093400,WGD
Glyma.01G093902,WGD
Glyma.01G095300,WGD
Glyma.01G095500,WGD
Glyma.01G095600,WGD
Glyma.01G096300,WGD
Glyma.01G096600,WGD
Glyma.01G096800,WGD
Glyma.01G097000,WGD
Glyma.01G097100,WGD
Glyma.01G097200,WGD
Glyma.01G097400,WGD
Glyma.01G097500,WGD
Glyma.01G097700,WGD
Glyma.01G097900,WGD
Glyma.01G098000,WGD
Glyma.01G098400,WGD
Glyma.01G098700,WGD
Glyma.01G099600,WGD
Glyma.01G099700,WGD
Glyma.01G099800,WGD
Glyma.01G100000,WGD
Glyma.01G100100,WGD
Glyma.01G100200,WGD
Glyma.01G100900,WGD
Glyma.01G101000,WGD
Glyma.01G101100,WGD
Glyma.01G101800,WGD
Glyma.01G102300,WGD
Glyma.01G102400,WGD
Glyma.01G102500,WGD
Glyma.01G102600,WGD
Glyma.01G103100,WGD
Glyma.01G103200,WGD
Glyma.01G103500,WGD
Glyma.01G104100,WGD
Glyma.01G104200,WGD
Glyma.01G104600,WGD
Glyma.01G104800,WGD
Glyma.01G105000,WGD
Glyma.01G105300,WGD
Glyma.01G105400,WGD
Glyma.01G105500,WGD
Glyma.01G105600,WGD
Glyma.01G105900,WGD
Glyma.01G106000,WGD
Glyma.01G106100,WGD
Glyma.01G106200,WGD
Glyma.01G106500,WGD
Glyma.01G106600,WGD
Glyma.01G106700,WGD
Glyma.01G106867,WGD
Glyma.01G107000,WGD
Glyma.01G107100,WGD
Glyma.01G108000,WGD
Glyma.01G108200,WGD
Glyma.01G108700,WGD
Glyma.01G108800,WGD
Glyma.01G109200,WGD
Glyma.01G109300,WGD
Glyma.01G109500,WGD
Glyma.01G109700,WGD
Glyma.01G109800,WGD
Glyma.01G110200,WGD
Glyma.01G110300,WGD
Glyma.01G110400,WGD
Glyma.01G110500,WGD
Glyma.01G110600,WGD
Glyma.01G110900,WGD
Glyma.01G111000,WGD
Glyma.01G111200,WGD
Glyma.01G111300,WGD
Glyma.01G111500,WGD
Glyma.01G111900,WGD
Glyma.01G112200,WGD
Glyma.01G112400,WGD
Glyma.01G112500,WGD
Glyma.01G112600,WGD
Glyma.01G112700,WGD
Glyma.01G112900,WGD
Glyma.01G113000,WGD
Glyma.01G113100,WGD
Glyma.01G113200,WGD
Glyma.01G113400,WGD
Glyma.01G114000,WGD
Glyma.01G114400,WGD
Glyma.01G114800,WGD
Glyma.01G114900,WGD
Glyma.01G115000,WGD
Glyma.01G115600,WGD
Glyma.01G115900,WGD
Glyma.01G116000,WGD
Glyma.01G116100,WGD
Glyma.01G116300,WGD
Glyma.01G117000,WGD
Glyma.01G117900,WGD
Glyma.01G118000,WGD
Glyma.01G118200,WGD
Glyma.01G119300,WGD
Glyma.01G119400,WGD
Glyma.01G119500,WGD
Glyma.01G119600,WGD
Glyma.01G119900,WGD
Glyma.01G120400,WGD
Glyma.01G120800,WGD
Glyma.01G121000,WGD
Glyma.01G121209,WGD
Glyma.01G121218,WGD
Glyma.01G121300,WGD
Glyma.01G121400,WGD
Glyma.01G121700,WGD
Glyma.01G122000,WGD
Glyma.01G122100,WGD
Glyma.01G122800,WGD
Glyma.01G123000,WGD
Glyma.01G123100,WGD
Glyma.01G123300,WGD
Glyma.01G123400,WGD
Glyma.01G123500,WGD
Glyma.01G123600,WGD
Glyma.01G123900,WGD
Glyma.01G124000,WGD
Glyma.01G124100,WGD
Glyma.01G124200,WGD
Glyma.01G124300,WGD
Glyma.01G124400,WGD
Glyma.01G124500,WGD
Glyma.01G124602,WGD
Glyma.01G124700,WGD
Glyma.01G124802,WGD
Glyma.01G124900,WGD
Glyma.01G125000,WGD
Glyma.01G125100,WGD
Glyma.01G125200,WGD
Glyma.01G125300,WGD
Glyma.01G125900,WGD
Glyma.01G126000,WGD
Glyma.01G126200,WGD
Glyma.01G126600,WGD
Glyma.01G126700,WGD
Glyma.01G127100,WGD
Glyma.01G127200,WGD
Glyma.01G127400,WGD
Glyma.01G127500,WGD
Glyma.01G127600,WGD
Glyma.01G127700,WGD
Glyma.01G127900,WGD
Glyma.01G128000,WGD
Glyma.01G128100,WGD
Glyma.01G128200,WGD
Glyma.01G128300,WGD
Glyma.01G128500,WGD
Glyma.01G128700,WGD
Glyma.01G129000,WGD
Glyma.01G129200,WGD
Glyma.01G129400,WGD
Glyma.01G129700,WGD
Glyma.01G130000,WGD
Glyma.01G130200,WGD
Glyma.01G130500,WGD
Glyma.01G131100,WGD
Glyma.01G131200,WGD
Glyma.01G131300,WGD
Glyma.01G131400,WGD
Glyma.01G131500,WGD
Glyma.01G131800,WGD
Glyma.01G131900,WGD
Glyma.01G132000,WGD
Glyma.01G132200,WGD
Glyma.01G132300,WGD
Glyma.01G132400,WGD
Glyma.01G132500,WGD
Glyma.01G132600,WGD
Glyma.01G132800,WGD
Glyma.01G132866,WGD
Glyma.01G133000,WGD
Glyma.01G133200,WGD
Glyma.01G133300,WGD
Glyma.01G133501,WGD
Glyma.01G133900,WGD
Glyma.01G134100,WGD
Glyma.01G134200,WGD
Glyma.01G134400,WGD
Glyma.01G135400,WGD
Glyma.01G135500,WGD
Glyma.01G135600,WGD
Glyma.01G135900,WGD
Glyma.01G136000,WGD
Glyma.01G136100,WGD
Glyma.01G136300,WGD
Glyma.01G136500,WGD
Glyma.01G136600,WGD
Glyma.01G137200,WGD
Glyma.01G137300,WGD
Glyma.01G137500,WGD
Glyma.01G137600,WGD
Glyma.01G137700,WGD
Glyma.01G138000,WGD
Glyma.01G138300,WGD
Glyma.01G138600,WGD
Glyma.01G138800,WGD
Glyma.01G139000,WGD
Glyma.01G139100,WGD
Glyma.01G139500,WGD
Glyma.01G139600,WGD
Glyma.01G139633,WGD
Glyma.01G139700,WGD
Glyma.01G139900,WGD
Glyma.01G140200,WGD
Glyma.01G140850,WGD
Glyma.01G141100,WGD
Glyma.01G141200,WGD
Glyma.01G141400,WGD
Glyma.01G141900,WGD
Glyma.01G142300,WGD
Glyma.01G142400,WGD
Glyma.01G142600,WGD
Glyma.01G142700,WGD
Glyma.01G142900,WGD
Glyma.01G143100,WGD
Glyma.01G143700,WGD
Glyma.01G143800,WGD
Glyma.01G143900,WGD
Glyma.01G144200,WGD
Glyma.01G144300,WGD
Glyma.01G144400,WGD
Glyma.01G144500,WGD
Glyma.01G144700,WGD
Glyma.01G144800,WGD
Glyma.01G144900,WGD
Glyma.01G145000,WGD
Glyma.01G145300,WGD
Glyma.01G145400,WGD
Glyma.01G145600,WGD
Glyma.01G145900,WGD
Glyma.01G146000,WGD
Glyma.01G146100,WGD
Glyma.01G146200,WGD
Glyma.01G146300,WGD
Glyma.01G146400,WGD
Glyma.01G146500,WGD
Glyma.01G146600,WGD
Glyma.01G146700,WGD
Glyma.01G147300,WGD
Glyma.01G147400,WGD
Glyma.01G147500,WGD
Glyma.01G147600,WGD
Glyma.01G147700,WGD
Glyma.01G147800,WGD
Glyma.01G148300,WGD
Glyma.01G148401,WGD
Glyma.01G148600,WGD
Glyma.01G148800,WGD
Glyma.01G148900,WGD
Glyma.01G149000,WGD
Glyma.01G149300,WGD
Glyma.01G149400,WGD
Glyma.01G149500,WGD
Glyma.01G149700,WGD
Glyma.01G149800,WGD
Glyma.01G149900,WGD
Glyma.01G150000,WGD
Glyma.01G150100,WGD
Glyma.01G150200,WGD
Glyma.01G150300,WGD
Glyma.01G150400,WGD
Glyma.01G150600,WGD
Glyma.01G150700,WGD
Glyma.01G150800,WGD
Glyma.01G151000,WGD
Glyma.01G151100,WGD
Glyma.01G151200,WGD
Glyma.01G151300,WGD
Glyma.01G151400,WGD
Glyma.01G151466,WGD
Glyma.01G151600,WGD
Glyma.01G151700,WGD
Glyma.01G151800,WGD
Glyma.01G151951,WGD
Glyma.01G152100,WGD
Glyma.01G152200,WGD
Glyma.01G152500,WGD
Glyma.01G152600,WGD
Glyma.01G152700,WGD
Glyma.01G152800,WGD
Glyma.01G152900,WGD
Glyma.01G153000,WGD
Glyma.01G153100,WGD
Glyma.01G153200,WGD
Glyma.01G153300,WGD
Glyma.01G153600,WGD
Glyma.01G153700,WGD
Glyma.01G154000,WGD
Glyma.01G154100,WGD
Glyma.01G154200,WGD
Glyma.01G154300,WGD
Glyma.01G154400,WGD
Glyma.01G154450,WGD
Glyma.01G154700,WGD
Glyma.01G155200,WGD
Glyma.01G155300,WGD
Glyma.01G155400,WGD
Glyma.01G155600,WGD
Glyma.01G155800,WGD
Glyma.01G155900,WGD
Glyma.01G156000,WGD
Glyma.01G156200,WGD
Glyma.01G156400,WGD
Glyma.01G156500,WGD
Glyma.01G156600,WGD
Glyma.01G156700,WGD
Glyma.01G157000,WGD
Glyma.01G157100,WGD
Glyma.01G157300,WGD
Glyma.01G157400,WGD
Glyma.01G157500,WGD
Glyma.01G157600,WGD
Glyma.01G157700,WGD
Glyma.01G157800,WGD
Glyma.01G157900,WGD
Glyma.01G158000,WGD
Glyma.01G158100,WGD
Glyma.01G158200,WGD
Glyma.01G158300,WGD
Glyma.01G158400,WGD
Glyma.01G158500,WGD
Glyma.01G158600,WGD
Glyma.01G158750,WGD
Glyma.01G158800,WGD
Glyma.01G158900,WGD
Glyma.01G159000,WGD
Glyma.01G159100,WGD
Glyma.01G159200,WGD
Glyma.01G159301,WGD
Glyma.01G159400,WGD
Glyma.01G159450,WGD
Glyma.01G159500,WGD
Glyma.01G159600,WGD
Glyma.01G159700,WGD
Glyma.01G159800,WGD
Glyma.01G159900,WGD
Glyma.01G160000,WGD
Glyma.01G160100,WGD
Glyma.01G160300,WGD
Glyma.01G160600,WGD
Glyma.01G160800,WGD
Glyma.01G160900,WGD
Glyma.01G161000,WGD
Glyma.01G161100,WGD
Glyma.01G161200,WGD
Glyma.01G161400,WGD
Glyma.01G161500,WGD
Glyma.01G161600,WGD
Glyma.01G161700,WGD
Glyma.01G161800,WGD
Glyma.01G161900,WGD
Glyma.01G162000,WGD
Glyma.01G162100,WGD
Glyma.01G162200,WGD
Glyma.01G162300,WGD
Glyma.01G162500,WGD
Glyma.01G162700,WGD
Glyma.01G162800,WGD
Glyma.01G162900,WGD
Glyma.01G163000,WGD
Glyma.01G163100,WGD
Glyma.01G163200,WGD
Glyma.01G163300,WGD
Glyma.01G163500,WGD
Glyma.01G163600,WGD
Glyma.01G163700,WGD
Glyma.01G163800,WGD
Glyma.01G163900,WGD
Glyma.01G164000,WGD
Glyma.01G164100,WGD
Glyma.01G164200,WGD
Glyma.01G164300,WGD
Glyma.01G164400,WGD
Glyma.01G164500,WGD
Glyma.01G164700,WGD
Glyma.01G164800,WGD
Glyma.01G164900,WGD
Glyma.01G165000,WGD
Glyma.01G165100,WGD
Glyma.01G165200,WGD
Glyma.01G165300,WGD
Glyma.01G165400,WGD
Glyma.01G165600,WGD
Glyma.01G165900,WGD
Glyma.01G166000,WGD
Glyma.01G166100,WGD
Glyma.01G166200,WGD
Glyma.01G166300,WGD
Glyma.01G166400,WGD
Glyma.01G166500,WGD
Glyma.01G166600,WGD
Glyma.01G166700,WGD
Glyma.01G166800,WGD
Glyma.01G166900,WGD
Glyma.01G167000,WGD
Glyma.01G167200,WGD
Glyma.01G167300,WGD
Glyma.01G167400,WGD
Glyma.01G167500,WGD
Glyma.01G167600,WGD
Glyma.01G167900,WGD
Glyma.01G168000,WGD
Glyma.01G168100,WGD
Glyma.01G168200,WGD
Glyma.01G168400,WGD
Glyma.01G168500,WGD
Glyma.01G168600,WGD
Glyma.01G168900,WGD
Glyma.01G169000,WGD
Glyma.01G169100,WGD
Glyma.01G169200,WGD
Glyma.01G169400,WGD
Glyma.01G169500,WGD
Glyma.01G169600,WGD
Glyma.01G169900,WGD
Glyma.01G170000,WGD
Glyma.01G170100,WGD
Glyma.01G170200,WGD
Glyma.01G170300,WGD
Glyma.01G170400,WGD
Glyma.01G170502,WGD
Glyma.01G170600,WGD
Glyma.01G170700,WGD
Glyma.01G170800,WGD
Glyma.01G170900,WGD
Glyma.01G171000,WGD
Glyma.01G171100,WGD
Glyma.01G171200,WGD
Glyma.01G171300,WGD
Glyma.01G171400,WGD
Glyma.01G171600,WGD
Glyma.01G171700,WGD
Glyma.01G171800,WGD
Glyma.01G171900,WGD
Glyma.01G172000,WGD
Glyma.01G172100,WGD
Glyma.01G172200,WGD
Glyma.01G172300,WGD
Glyma.01G172400,WGD
Glyma.01G172500,WGD
Glyma.01G172600,WGD
Glyma.01G172700,WGD
Glyma.01G172900,WGD
Glyma.01G173000,WGD
Glyma.01G173100,WGD
Glyma.01G173200,WGD
Glyma.01G173300,WGD
Glyma.01G173500,WGD
Glyma.01G173700,WGD
Glyma.01G173800,WGD
Glyma.01G173900,WGD
Glyma.01G174000,WGD
Glyma.01G174102,WGD
Glyma.01G174200,WGD
Glyma.01G174400,WGD
Glyma.01G174501,WGD
Glyma.01G174600,WGD
Glyma.01G174700,WGD
Glyma.01G174900,WGD
Glyma.01G175000,WGD
Glyma.01G175100,WGD
Glyma.01G175200,WGD
Glyma.01G175300,WGD
Glyma.01G175400,WGD
Glyma.01G175500,WGD
Glyma.01G175600,WGD
Glyma.01G175800,WGD
Glyma.01G175900,WGD
Glyma.01G176000,WGD
Glyma.01G176100,WGD
Glyma.01G176400,WGD
Glyma.01G176500,WGD
Glyma.01G176600,WGD
Glyma.01G176900,WGD
Glyma.01G177066,WGD
