gene_window_B,gene_window_A,perc_id_B,perc_id_A,duplication_node,rank_A,rank_B,pos_A_mb,pos_B_mb
GLYMA_20G192000,GLYMA_10G197800,85.625,24.0351,Embryophyta,40,47,42.914376,43.072535
GLYMA_20G194800,GLYMA_10G195300,91.1894,91.1894,Glycine_subgen._Soja,15,74,42.711052,43.338861
GLYMA_20G193500,GLYMA_10G196700,36.0,69.1304,Eukaryota,29,61,42.807536,43.232946
GLYMA_20G188900,GLYMA_10G201500,85.9155,87.7698,Glycine_subgen._Soja,77,15,43.264386,42.7555
GLYMA_20G191000,GLYMA_10G199200,53.1513,61.2591,Glycine max strain Williams 82,54,36,43.016234,42.985642
GLYMA_20G193800,GLYMA_10G196400,89.4349,83.2952,Glycine_subgen._Soja,26,64,42.78804,43.252418
GLYMA_20G188600,GLYMA_10G201700,98.6768,98.6768,Glycine_subgen._Soja,79,12,43.287637,42.726514
GLYMA_20G190200,GLYMA_10G200300,95.8878,95.8878,Glycine_subgen._Soja,65,28,43.105921,42.894074
GLYMA_20G194100,GLYMA_10G196100,97.0679,98.1279,Glycine_subgen._Soja,23,67,42.752699,43.292823
GLYMA_20G194500,GLYMA_10G195600,98.3122,98.3122,Glycine_subgen._Soja,18,71,42.722946,43.32924
GLYMA_20G189600,GLYMA_10G200800,93.6735,93.2927,Glycine_subgen._Soja,70,22,43.176609,42.82286
GLYMA_20G189600,GLYMA_10G202400,25.3061,23.1343,Streptophytina,86,22,43.382723,42.82286
GLYMA_20G192300,GLYMA_10G197600,61.2583,82.5893,Glycine_subgen._Soja,38,49,42.899234,43.096801
GLYMA_20G192300,GLYMA_10G197500,23.3444,30.3226,Mesangiospermae,37,49,42.882331,43.096801
GLYMA_20G193400,GLYMA_10G196900,62.8989,68.9504,Phaseoleae,31,60,42.813596,43.225002
GLYMA_20G194400,GLYMA_10G195700,89.6488,89.566,Glycine_subgen._Soja,19,70,42.731233,43.321848
GLYMA_20G188100,GLYMA_10G202300,91.4339,90.5904,Glycine_subgen._Soja,85,7,43.364538,42.663365
GLYMA_20G195500,GLYMA_10G196900,73.9554,77.4053,Phaseoleae,31,81,42.813596,43.384225
GLYMA_20G193000,GLYMA_10G197200,90.5199,83.1461,Glycine_subgen._Soja,34,56,42.853001,43.199271
GLYMA_20G193300,GLYMA_10G196700,36.2863,74.2029,Eukaryota,29,59,42.807536,43.217633
GLYMA_20G191700,GLYMA_10G198300,97.6261,97.6261,Glycine_subgen._Soja,45,43,42.942649,43.042738
GLYMA_20G192600,GLYMA_10G197400,94.3396,94.3396,Glycine_subgen._Soja,36,52,42.863093,43.158672
GLYMA_20G189500,GLYMA_10G201000,92.8344,86.2426,Glycine_subgen._Soja,72,21,43.202432,42.799732
GLYMA_20G194000,GLYMA_10G196200,77.2512,90.5556,Glycine_subgen._Soja,24,66,42.76516,43.285641
GLYMA_20G187900,GLYMA_10G202500,94.3231,94.3231,Glycine_subgen._Soja,87,5,43.390031,42.645239
GLYMA_20G192200,GLYMA_10G197700,97.1698,94.4954,Glycine_subgen._Soja,39,48,42.905294,43.084747
